
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      54 |        2140 |       01:23:51 |       99.11% |              |       0.0786 |              |      5.0000e-07 |
|      54 |        2160 |       01:24:36 |       99.42% |              |       0.0564 |              |      5.0000e-07 |
|      55 |        2180 |       01:25:22 |       99.40% |              |       0.0678 |              |      5.0000e-07 |
|      55 |        2200 |       01:26:13 |       99.28% |       98.94% |       0.0756 |       0.1328 |      5.0000e-07 |
|      56 |        2220 |       01:27:00 |       99.32% |              |       0.0799 |              |      5.0000e-07 |
|      56 |        2240 |       01:27:45 |       99.52% |              |       0.0537 |              |      5.0000e-07 |
|      57 |        2260 |       01:28:32 |       99.20% |              |       0.0729 |              |      5.0000e-07 |
|      57 |        2280 |       01:29:17 |       99.39% |              |       0.0782 |              |      5.0000e-07 |
|      58 |        2300 |       01:30:09 |       99.42% |       98.92% |       0.0656 |       0.1388 |      5.0000e-07 |
|      58 |        2320 |       01:30:54 |       99.33% |              |       0.0759 |              |      5.0000e-07 |
|      59 |        2340 |       01:31:41 |       99.15% |              |       0.0680 |              |      5.0000e-07 |
|      59 |        2360 |       01:32:26 |       99.11% |              |       0.0925 |              |      5.0000e-07 |
|      60 |        2380 |       01:33:12 |       99.38% |              |       0.0620 |              |      5.0000e-07 |
|      60 |        2400 |       01:34:03 |       99.29% |       98.94% |       0.0920 |       0.1348 |      5.0000e-07 |
|      61 |        2420 |       01:34:50 |       99.38% |              |       0.0552 |              |      5.0000e-08 |
|      61 |        2440 |       01:35:35 |       99.11% |              |       0.0817 |              |      5.0000e-08 |
|      62 |        2460 |       01:36:21 |       99.32% |              |       0.0574 |              |      5.0000e-08 |
|      62 |        2480 |       01:37:06 |       99.38% |              |       0.0522 |              |      5.0000e-08 |
|      63 |        2500 |       01:37:59 |       99.47% |       98.94% |       0.0529 |       0.1427 |      5.0000e-08 |
|      63 |        2520 |       01:38:44 |       99.34% |              |       0.0539 |              |      5.0000e-08 |
|      64 |        2540 |       01:39:31 |       99.43% |              |       0.0549 |              |      5.0000e-08 |
|      64 |        2560 |       01:40:16 |       99.43% |              |       0.0512 |              |      5.0000e-08 |
|      65 |        2580 |       01:41:02 |       99.22% |              |       0.0810 |              |      5.0000e-08 |
|      65 |        2600 |       01:41:53 |       99.38% |       98.92% |       0.0642 |       0.1374 |      5.0000e-08 |
|      66 |        2620 |       01:42:40 |       99.32% |              |       0.0610 |              |      5.0000e-08 |
|      66 |        2640 |       01:43:25 |       99.43% |              |       0.0564 |              |      5.0000e-08 |
|      67 |        2660 |       01:44:12 |       99.16% |              |       0.0687 |              |      5.0000e-08 |
|      67 |        2680 |       01:44:57 |       99.28% |              |       0.0791 |              |      5.0000e-08 |
|      68 |        2700 |       01:45:49 |       99.35% |       98.95% |       0.0605 |       0.1393 |      5.0000e-08 |
|      68 |        2720 |       01:46:34 |       99.07% |              |       0.0739 |              |      5.0000e-08 |
|      69 |        2740 |       01:47:21 |       98.99% |              |       0.1131 |              |      5.0000e-08 |
|      69 |        2760 |       01:48:06 |       99.25% |              |       0.0606 |              |      5.0000e-08 |
|      70 |        2780 |       01:48:52 |       99.12% |              |       0.1017 |              |      5.0000e-08 |
|      70 |        2800 |       01:49:43 |       99.19% |       98.98% |       0.0864 |       0.1353 |      5.0000e-08 |
|      71 |        2820 |       01:50:30 |       99.28% |              |       0.0908 |              |      5.0000e-09 |
|      71 |        2840 |       01:51:15 |       99.45% |              |       0.0563 |              |      5.0000e-09 |
|      72 |        2860 |       01:52:02 |       99.30% |              |       0.0592 |              |      5.0000e-09 |
|      72 |        2880 |       01:52:47 |       99.22% |              |       0.0740 |              |      5.0000e-09 |
|      73 |        2900 |       01:53:40 |       99.50% |       98.94% |       0.0525 |       0.1387 |      5.0000e-09 |
|      73 |        2920 |       01:54:25 |       99.25% |              |       0.0791 |              |      5.0000e-09 |
|      74 |        2940 |       01:55:11 |       99.40% |              |       0.0680 |              |      5.0000e-09 |
