
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     122 |        4880 |       03:05:50 |       97.20% |              |       0.3631 |              |      5.0000e-14 |
|     123 |        4900 |       03:06:41 |       98.02% |       98.12% |       0.2511 |       0.3016 |      5.0000e-14 |
|     123 |        4920 |       03:07:25 |       98.78% |              |       0.2068 |              |      5.0000e-14 |
|     124 |        4940 |       03:08:10 |       98.50% |              |       0.2984 |              |      5.0000e-14 |
|     124 |        4960 |       03:08:54 |       98.85% |              |       0.1664 |              |      5.0000e-14 |
|     125 |        4980 |       03:09:39 |       98.43% |              |       0.2276 |              |      5.0000e-14 |
|     125 |        5000 |       03:10:29 |       98.29% |       98.06% |       0.2777 |       0.3075 |      5.0000e-14 |
|     126 |        5020 |       03:11:14 |       98.96% |              |       0.1912 |              |      5.0000e-14 |
|     126 |        5040 |       03:11:58 |       98.46% |              |       0.2172 |              |      5.0000e-14 |
|     127 |        5060 |       03:12:43 |       98.34% |              |       0.2248 |              |      5.0000e-14 |
|     127 |        5080 |       03:13:27 |       98.30% |              |       0.2208 |              |      5.0000e-14 |
|     128 |        5100 |       03:14:18 |       98.75% |       98.07% |       0.1766 |       0.3108 |      5.0000e-14 |
|     128 |        5120 |       03:15:03 |       98.72% |              |       0.2331 |              |      5.0000e-14 |
|     129 |        5140 |       03:15:48 |       98.35% |              |       0.2550 |              |      5.0000e-14 |
|     129 |        5160 |       03:16:31 |       98.32% |              |       0.2393 |              |      5.0000e-14 |
|     130 |        5180 |       03:17:16 |       98.69% |              |       0.1890 |              |      5.0000e-14 |
|     130 |        5200 |       03:18:06 |       98.27% |       98.09% |       0.2452 |       0.3131 |      5.0000e-14 |
|     131 |        5220 |       03:18:52 |       98.49% |              |       0.1835 |              |      5.0000e-15 |
