
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      47 |        1880 |       01:11:34 |       98.84% |              |       0.2210 |              |      5.0000e-06 |
|      48 |        1900 |       01:12:25 |       98.77% |       98.04% |       0.2448 |       0.3102 |      5.0000e-06 |
|      48 |        1920 |       01:13:09 |       97.70% |              |       0.3000 |              |      5.0000e-06 |
|      49 |        1940 |       01:13:55 |       98.20% |              |       0.3486 |              |      5.0000e-06 |
|      49 |        1960 |       01:14:38 |       98.56% |              |       0.2022 |              |      5.0000e-06 |
|      50 |        1980 |       01:15:24 |       97.94% |              |       0.3899 |              |      5.0000e-06 |
|      50 |        2000 |       01:16:14 |       98.25% |       98.11% |       0.2230 |       0.3053 |      5.0000e-06 |
|      51 |        2020 |       01:16:59 |       98.67% |              |       0.1914 |              |      5.0000e-07 |
|      51 |        2040 |       01:17:43 |       97.84% |              |       0.2683 |              |      5.0000e-07 |
|      52 |        2060 |       01:18:28 |       98.45% |              |       0.2297 |              |      5.0000e-07 |
|      52 |        2080 |       01:19:11 |       98.78% |              |       0.2351 |              |      5.0000e-07 |
|      53 |        2100 |       01:20:03 |       98.48% |       98.11% |       0.2370 |       0.3050 |      5.0000e-07 |
|      53 |        2120 |       01:20:47 |       98.00% |              |       0.3667 |              |      5.0000e-07 |
|      54 |        2140 |       01:21:32 |       98.54% |              |       0.2205 |              |      5.0000e-07 |
|      54 |        2160 |       01:22:16 |       98.79% |              |       0.1921 |              |      5.0000e-07 |
|      55 |        2180 |       01:23:01 |       98.39% |              |       0.2602 |              |      5.0000e-07 |
|      55 |        2200 |       01:23:51 |       98.61% |       98.12% |       0.1677 |       0.3063 |      5.0000e-07 |
|      56 |        2220 |       01:24:36 |       98.16% |              |       0.3372 |              |      5.0000e-07 |
|      56 |        2240 |       01:25:20 |       98.91% |              |       0.2326 |              |      5.0000e-07 |
