
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      54 |        2140 |       01:24:40 |       98.82% |              |       0.1729 |              |      5.0000e-07 |
|      54 |        2160 |       01:25:25 |       99.16% |              |       0.1235 |              |      5.0000e-07 |
|      55 |        2180 |       01:26:12 |       98.73% |              |       0.2078 |              |      5.0000e-07 |
|      55 |        2200 |       01:27:04 |       98.94% |       98.60% |       0.1526 |       0.2470 |      5.0000e-07 |
|      56 |        2220 |       01:27:51 |       99.22% |              |       0.1594 |              |      5.0000e-07 |
|      56 |        2240 |       01:28:36 |       98.86% |              |       0.1782 |              |      5.0000e-07 |
|      57 |        2260 |       01:29:23 |       98.93% |              |       0.1760 |              |      5.0000e-07 |
|      57 |        2280 |       01:30:08 |       98.46% |              |       0.2130 |              |      5.0000e-07 |
|      58 |        2300 |       01:31:01 |       99.06% |       98.62% |       0.1848 |       0.2448 |      5.0000e-07 |
|      58 |        2320 |       01:31:47 |       99.12% |              |       0.1432 |              |      5.0000e-07 |
|      59 |        2340 |       01:32:34 |       98.95% |              |       0.1596 |              |      5.0000e-07 |
|      59 |        2360 |       01:33:19 |       98.53% |              |       0.2052 |              |      5.0000e-07 |
|      60 |        2380 |       01:34:06 |       99.01% |              |       0.1133 |              |      5.0000e-07 |
|      60 |        2400 |       01:34:58 |       99.07% |       98.57% |       0.1589 |       0.2508 |      5.0000e-07 |
|      61 |        2420 |       01:35:45 |       98.77% |              |       0.2046 |              |      5.0000e-08 |
|      61 |        2440 |       01:36:30 |       98.70% |              |       0.2403 |              |      5.0000e-08 |
|      62 |        2460 |       01:37:16 |       99.22% |              |       0.1439 |              |      5.0000e-08 |
|      62 |        2480 |       01:38:02 |       98.58% |              |       0.1941 |              |      5.0000e-08 |
